[E 260531 21:01:54 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid API Key. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '24:fd:52:e2:84:d1', 'Accept': 'application/json', 'X-PrivateKey': 'MAEL1045', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-05-26 21:01', 'todate': '2026-05-31 21:01'}, Response: {'success': False, 'message': 'Invalid API Key', 'errorCode': 'AG8004', 'data': ''}
[E 260531 21:02:06 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid API Key. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '24:fd:52:e2:84:d1', 'Accept': 'application/json', 'X-PrivateKey': 'MAEL1045', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-05-26 21:02', 'todate': '2026-05-31 21:02'}, Response: {'success': False, 'message': 'Invalid API Key', 'errorCode': 'AG8004', 'data': ''}
[E 260531 21:02:55 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid API Key. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '24:fd:52:e2:84:d1', 'Accept': 'application/json', 'X-PrivateKey': 'MAEL1045', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-05-26 21:02', 'todate': '2026-05-31 21:02'}, Response: {'success': False, 'message': 'Invalid API Key', 'errorCode': 'AG8004', 'data': ''}
[E 260531 21:03:18 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid API Key. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '24:fd:52:e2:84:d1', 'Accept': 'application/json', 'X-PrivateKey': 'MAEL1045', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-05-21 21:03', 'todate': '2026-05-31 21:03'}, Response: {'success': False, 'message': 'Invalid API Key', 'errorCode': 'AG8004', 'data': ''}
[E 260531 21:03:37 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid API Key. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '24:fd:52:e2:84:d1', 'Accept': 'application/json', 'X-PrivateKey': 'MAEL1045', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-05-21 21:03', 'todate': '2026-05-31 21:03'}, Response: {'success': False, 'message': 'Invalid API Key', 'errorCode': 'AG8004', 'data': ''}
[E 260531 21:03:54 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid API Key. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '24:fd:52:e2:84:d1', 'Accept': 'application/json', 'X-PrivateKey': 'MAEL1045', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-05-21 21:03', 'todate': '2026-05-31 21:03'}, Response: {'success': False, 'message': 'Invalid API Key', 'errorCode': 'AG8004', 'data': ''}
[E 260531 21:04:20 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid API Key. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '24:fd:52:e2:84:d1', 'Accept': 'application/json', 'X-PrivateKey': 'MAEL1045', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-05-21 21:04', 'todate': '2026-05-31 21:04'}, Response: {'success': False, 'message': 'Invalid API Key', 'errorCode': 'AG8004', 'data': ''}
[E 260531 21:04:53 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid API Key. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '24:fd:52:e2:84:d1', 'Accept': 'application/json', 'X-PrivateKey': 'MAEL1045', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-05-21 21:04', 'todate': '2026-05-31 21:04'}, Response: {'success': False, 'message': 'Invalid API Key', 'errorCode': 'AG8004', 'data': ''}
[E 260531 21:05:43 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid API Key. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '24:fd:52:e2:84:d1', 'Accept': 'application/json', 'X-PrivateKey': 'MAEL1045', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-05-21 21:05', 'todate': '2026-05-31 21:05'}, Response: {'success': False, 'message': 'Invalid API Key', 'errorCode': 'AG8004', 'data': ''}
[E 260531 21:05:53 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid API Key. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '24:fd:52:e2:84:d1', 'Accept': 'application/json', 'X-PrivateKey': 'MAEL1045', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-05-21 21:05', 'todate': '2026-05-31 21:05'}, Response: {'success': False, 'message': 'Invalid API Key', 'errorCode': 'AG8004', 'data': ''}
[E 260531 21:06:03 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid API Key. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '24:fd:52:e2:84:d1', 'Accept': 'application/json', 'X-PrivateKey': 'MAEL1045', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-05-21 21:06', 'todate': '2026-05-31 21:06'}, Response: {'success': False, 'message': 'Invalid API Key', 'errorCode': 'AG8004', 'data': ''}
